name,dtype,status,selected,n_bins,iv,js,gini,quality_score
loan_percent_income,numerical,OPTIMAL,True,9,0.9336474603485763,0.10218870999847289,0.43541644449976225,0.0027986531332129835
loan_grade,categorical,OPTIMAL,True,4,0.8644743965771344,0.09868853088626288,0.4472202920478473,0.28864904640180267
loan_int_rate,numerical,OPTIMAL,True,12,0.7756225156220239,0.08949431569813346,0.44935532244646903,0.10948690118916057
person_income,numerical,OPTIMAL,True,9,0.5257366367818797,0.06153818258048567,0.381330286838388,0.25278528357949637
person_home_ownership,categorical,OPTIMAL,True,3,0.359705340422521,0.043892335747085426,0.2937815382876692,0.7002876384666061
cb_person_default_on_file,categorical,OPTIMAL,True,2,0.170450416550195,0.020875321310683773,0.1688557237239966,0.25144709081945216
loan_amnt,numerical,OPTIMAL,True,10,0.10031903900932487,0.012359289135397506,0.163972575108712,0.037527573795141295
loan_intent,categorical,OPTIMAL,True,6,0.09835055340980577,0.012217306886902278,0.17098835580316252,0.05411969318853939
person_emp_length,numerical,OPTIMAL,True,7,0.0603194414994041,0.007505551735913043,0.1381362223169722,0.03813140071919493
person_age,numerical,OPTIMAL,True,8,0.013241729092675339,0.0016517183148902948,0.05499516715420116,4.769691952351633e-05
cb_person_cred_hist_length,numerical,OPTIMAL,True,5,0.004912523020856263,0.0006138306565977978,0.03841691543686521,0.0006728203130556956
