,mean_abs_shap
person_income,1.0289673
loan_int_rate,0.9659667
loan_percent_income,0.8387929
loan_intent_VENTURE,0.47860286
person_home_ownership_RENT,0.4389974
person_home_ownership_OWN,0.3555465
loan_amnt,0.26702228
loan_grade_D,0.20389211
person_emp_length,0.18317543
loan_intent_EDUCATION,0.17013124
loan_intent_HOMEIMPROVEMENT,0.13790885
person_age,0.1345855
loan_intent_PERSONAL,0.13099143
loan_grade_C,0.11016625
cb_person_cred_hist_length,0.09283362
loan_grade_B,0.06253435
loan_intent_MEDICAL,0.05929542
loan_grade_E,0.046548888
cb_person_default_on_file_Y,0.03436159
loan_grade_G,0.013244043
loan_grade_F,0.008014895
person_home_ownership_OTHER,0.0031389764
